MDXfind algo	hashes.org algo
MD5SHA1MD5UC	MD5SHA1UCMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5MD5HUM	MD5HUMMD5
MD5NTLM	MD5NTLM
NTLM	NTLM
MD5MD4	MD5MD4
MD5NTLMUC	MD5UCNTLM
MD5LM	MD5LM
MD5-4xMD5	md5(md5(plain)md5(plain)md5(plain)md5(plain))
MD4SQL3	MD4MYSQL3
MD5WRLMD5	MD5WRLMD5
SHA1HESK	hesk-sha1
MD5HESK	hesk-md5
SHA1SALTSHA1SALTSHA1PASS	SHA1(SALTSHA1(SALTSHA1(PLAIN)))
MD5SQL3	MD5MYSQL3
BCRYPT	BCRYPT
BCRYPTMD5	BCRYPTMD5
BCRYPTSHA1	BCRYPTSHA1
MD5sub8-24MD5	MD5CUT8-16MD5
MD5sub8-24MD5sub8-24MD5	md5cut8-16(md5cut8-16(md5(plain)))
MD5revMD5SHA1	MD5REVMD5SHA1
MD5SHA1BASE64SHA1MD5	MD5SHA1BASE64SHA1MD5
SHA1WRL	SHA1WRL
SHA1SHA256	SHA1SHA256
SHA1SHA384	SHA1SHA384
SHA1SHA512	SHA1SHA512
SHA1SQL3	SHA1MYSQL3
SHA1UCWRL	SHA1UCWRL
SHA1WRLMD5	SHA1WRLMD5
SHA1MD5SHA1MD5SHA1MD5SHA1	SHA1MD5SHA1MD5SHA1MD5SHA1
WRLSHA512	WRLSHA512
MD5GOST	MD5GOST
MD5GOSTMD5	MD5GOSTMD5
MD5GOSTMD5UC	MD5GOSTUCMD5
MD5WRLRAW	MD5RAWWRL
MD4SHA1MD5	MD4SHA1MD5
MD5SHA1BASE64SHA1RAW	MD5SHA1BASE64RAWSHA1
MD5revMD5SHA1SHA1	MD5REVMD5SHA1SHA1
MD5MD2	MD5MD2
MD5MD2RAW	MD5RAWMD2
MD5BASE64SHA256RAW	MD5BASE64RAWSHA256
DESCRYPT	DESCRYPT
MD5DESCRYPT	MD5DESCRYPT
MD4DESCRYPT	MD4DESCRYPT
MD5MD5PASSSHA1	MD5(MD5(PLAIN)PLAINSHA1(PLAIN))
MD5CRYPT	MD5CRYPT
SHA256CRYPT	SHA256CRYPT
SHA512CRYPT	SHA512CRYPT
PBKDF2-SHA256	PBKDF2
PBKDF2-MD5	PBKDF2
PBKDF2-SHA1	PBKDF2
PBKDF2-SHA512	PBKDF2
SHA224RAW	SHA224RAWSHA224
SHA256RAW	SHA256RAWSHA256
SHA384RAW	SHA384RAWSHA384
SHA512RAW	SHA512RAWSHA512
HAV128	HAVAL128-3
HAV128_4	HAVAL128-4
HAV128_5	HAVAL128-5
HAV160_3	HAVAL160-3
HAV160_4	HAVAL160-4
HAV160_5	HAVAL160-5
HAV192_3	HAVAL192-3
HAV192_4	HAVAL192-4
HAV192_5	HAVAL192-5
HAV224_3	HAVAL224-3
HAV224_4	HAVAL224-4
HAV224_5	HAVAL224-5
HAV256	HAVAL256-3
HAV256_4	HAVAL256-4
HAV256_5	HAVAL256-5
MD5x02	MD5X2
MD5x03	MD5X3
MD5x04	MD5X4
MD5x05	MD5X5
MD5x06	MD5X6
MD5x07	MD5X7
MD5x08	MD5X8
MD5x09	MD5X9
MD5x10	MD5X10
MD5SHA256x01	MD5SHA256
MD5SHA1x01	MD5SHA1
MD5SHA1x02	MD5SHA1X2
MD5-MD5PASS-SALTx01	VBULLETIN
MD5-MD5PASSMD5SALTx01	MD5(MD5(PLAIN)MD5(SALT))
